Time (s) Run #1,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Position (m) Run #1,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.06,1.05,1.03,1.13,1.07,1.02,1.01,1.02,0.94
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.1,1.05,1.04,1.02,1.12,1.06,1.01,1.0,1.01,0.93
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.1,1.05,1.04,1.02,1.12,1.05,1.01,0.99,1.01,0.93
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.1,1.05,1.03,1.02,1.12,1.04,1.01,0.99,1.0,0.93
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.1,1.05,1.02,1.01,1.12,1.03,1.0,0.98,1.0,0.93
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.05,1.01,1.01,1.12,1.01,0.99,0.96,0.99,0.93
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.09,1.05,0.99,1.0,1.12,0.99,0.98,0.95,0.98,0.93
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.08,1.05,0.97,0.99,1.12,0.98,0.97,0.94,0.97,0.93
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.06,1.05,0.95,0.97,1.11,0.96,0.95,0.92,0.96,0.93
0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.04,1.05,0.93,0.95,1.11,0.93,0.93,0.91,0.94,0.93
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.02,1.05,0.9,0.93,1.1,0.91,0.91,0.89,0.93,0.93
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1.0,1.04,0.87,0.91,1.09,0.89,0.9,0.87,0.92,0.92
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.98,1.03,0.85,0.88,1.07,0.86,0.87,0.86,0.91,0.92
